114,"GULATI, Thejas",A17 / 55 ,U.C.S.D. / PFA ,San Diego ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
115,"BIERNACKI, Maciej",C17 ,DURKAN ,Metro NYC ,USA ,2 ,0.33 ,23 ,26 ,-3 ,Advanced
116,"PARK, Justin",A17 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,21 ,24 ,-3 ,Advanced
117T,"CHO, Justin",B17 ,LONESTAR ,North TX ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
117T,"YILLA, Ahmed",C14 ,PETERWE / BALTI. F.C. ,Metro NYC ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
119,"JOHNSON, Andrew",A17 / 84 ,F.C. - AZ ,Arizona ,USA ,2 ,0.33 ,20 ,24 ,-4 ,Advanced
120,"MORICZ, Hunter",B17 ,,,CAN ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
121,"COPELAND, Oliver",C17 ,AGFC ,Southern CA ,USA ,2 ,0.33 ,18 ,23 ,-5 ,Advanced
122,"CHOU, Stephen",B17 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,21 ,27 ,-6 ,Advanced
123,"BRAJDIC, Joseph",A15 ,PETERWE / FENCERS ,Long Island ,CRO ,2 ,0.33 ,20 ,26 ,-6 ,Advanced
124T,"KARAM, Tariq",A17 ,MANHATTAN / SAS ,Metro NYC ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
124T,"YUNGEBERG, Tyler",B17 ,F.A. DENV. ,Colorado ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
126,"REN, Junming",C17 ,BERGEN F.C. ,New Jersey ,HKG ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
127,"CAMPBELL, Colin",A15 / 64 ,NOTREDAME ,Capitol ,USA ,2 ,0.33 ,21 ,28 ,-7 ,Advanced
128,"SHUSTER, Gabe",C16 / 95 ,,,CAN ,2 ,0.33 ,19 ,26 ,-7 ,Advanced
129T,"SCHINDLER, Zachary",C14 ,BOSTN FNCNG. CLB. / NYU ,New England ,USA ,2 ,0.33 ,18 ,25 ,-7 ,Advanced
129T,"MARSEE, James",C17 ,PFA ,Mt. Valley ,USA ,2 ,0.33 ,18 ,25 ,-7 ,Advanced
131,"LORTKIPANIDZE, Guram",B16 ,TIM MOREHOUSE FENCING ,West-Rock ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
132T,"LIU, Shu",B17 ,WEST COAST FENCING ,San Bern'do ,CHN ,2 ,0.33 ,17 ,25 ,-8 ,Advanced
132T,"SHIN, Richard J.H.",A16 / 68 ,AGFC ,Southern CA ,USA ,2 ,0.33 ,17 ,25 ,-8 ,Advanced
134,"MATT, Chris",B17 ,VACADF ,Virginia ,USA ,2 ,0.33 ,18 ,27 ,-9 ,Advanced
